Order_ID,Order_Date,Customer_ID,Category,Sub_Category,Brand,Product_Name,Original_Price,Discount_Percent,Discount_Amount,Final_Price,Quantity,Total_Amount,City,Payment_Method,Order_Status,Rating,Customer_Segment,Year,Month,Month_Name,Quarter,Day_of_Week,Week
ORD100011,2025-07-30,CUST85450,Men,Watches,HRX,HRX Watches,5635,0,0.0,5635.0,1,5635.0,Bangalore,Credit Card,Returned,,Premium,2025,7,July,3,Wednesday,31
ORD100012,2025-01-25,CUST58925,Women,Dresses,Puma,Puma Dresses,1394,40,557.6,836.4,1,836.4,Chandigarh,Debit Card,Delivered,4.0,Budget,2025,1,January,1,Saturday,4
ORD100013,2025-06-19,CUST13748,Men,T-Shirts,Biba,Biba T-Shirts,1008,10,100.8,907.2,1,907.2,Mumbai,Credit Card,Delivered,5.0,Budget,2025,6,June,2,Thursday,25
ORD100014,2025-05-20,CUST75318,Accessories,Sunglasses,Forever 21,Forever 21 Sunglasses,2019,0,0.0,2019.0,1,2019.0,Delhi,UPI,Delivered,5.0,Mid-tier,2025,5,May,2,Tuesday,21
ORD100015,2025-06-16,CUST17392,Men,Shirts,H&M,H&M Shirts,718,0,0.0,718.0,1,718.0,Mumbai,Credit Card,Delivered,4.0,Budget,2025,6,June,2,Monday,25
ORD100016,2025-05-20,CUST47157,Women,Handbags,Nike,Nike Handbags,5101,10,510.1,4590.9,1,4590.9,Ahmedabad,UPI,Cancelled,,Mid-tier,2025,5,May,2,Tuesday,21
ORD100017,2025-08-08,CUST59811,Accessories,Sunglasses,Van Heusen,Van Heusen Sunglasses,2222,10,222.2,1999.8,1,1999.8,Indore,UPI,Delivered,5.0,Budget,2025,8,August,3,Friday,32
ORD100018,2025-05-07,CUST21111,Accessories,Bags,Van Heusen,Van Heusen Bags,4427,10,442.7,3984.3,1,3984.3,Mumbai,UPI,Delivered,4.0,Mid-tier,2025,5,May,2,Wednesday,19
ORD100019,2025-10-05,CUST12049,Kids,Shoes,AND,AND Shoes,3192,50,1596.0,1596.0,1,1596.0,Mumbai,Credit Card,Returned,,Budget,2025,10,October,4,Sunday,40
ORD100020,2025-01-17,CUST76690,Accessories,Wallets,Van Heusen,Van Heusen Wallets,1981,20,396.2,1584.8,2,3169.6,Chennai,COD,Delivered,5.0,Mid-tier,2025,1,January,1,Friday,3
ORD100021,2025-02-24,CUST12557,Men,Trousers,Puma,Puma Trousers,802,10,80.2,721.8,1,721.8,Jaipur,UPI,Delivered,4.0,Budget,2025,2,February,1,Monday,9
ORD100022,2025-11-14,CUST48467,Women,Shoes,Zara,Zara Shoes,5942,50,2971.0,2971.0,1,2971.0,Mumbai,UPI,Delivered,4.0,Mid-tier,2025,11,November,4,Friday,46
ORD100023,2025-04-25,CUST29830,Kids,T-Shirts,Roadster,Roadster T-Shirts,986,0,0.0,986.0,1,986.0,Hyderabad,Credit Card,Cancelled,,Budget,2025,4,April,2,Friday,17
ORD100024,2025-12-11,CUST15600,Kids,Jeans,H&M,H&M Jeans,2099,30,629.7,1469.3,1,1469.3,Kolkata,Credit Card,Delivered,5.0,Budget,2025,12,December,4,Thursday,50
ORD100025,2025-06-21,CUST57202,Men,T-Shirts,Wrogn,Wrogn T-Shirts,456,30,136.8,319.2,2,638.4,Indore,Credit Card,Returned,,Budget,2025,6,June,2,Saturday,25
ORD100026,2025-10-09,CUST16102,Men,Watches,Zara,Zara Watches,7698,40,3079.2,4618.8,1,4618.8,Mumbai,Debit Card,Delivered,5.0,Mid-tier,2025,10,October,4,Thursday,41
ORD100027,2025-07-22,CUST21093,Women,Tops,Zara,Zara Tops,2434,0,0.0,2434.0,1,2434.0,Pune,Credit Card,Delivered,5.0,Mid-tier,2025,7,July,3,Tuesday,30
ORD100028,2025-09-10,CUST15801,Accessories,Sunglasses,Van Heusen,Van Heusen Sunglasses,2909,20,581.8,2327.2,1,2327.2,Pune,Debit Card,Delivered,5.0,Mid-tier,2025,9,September,3,Wednesday,37
ORD100029,2025-10-23,CUST80031,Women,Handbags,Nike,Nike Handbags,5583,10,558.3,5024.7,1,5024.7,Indore,COD,Delivered,5.0,Premium,2025,10,October,4,Thursday,43
ORD100030,2025-09-25,CUST25338,Kids,Jeans,Forever 21,Forever 21 Jeans,2514,0,0.0,2514.0,1,2514.0,Indore,Debit Card,Delivered,4.0,Mid-tier,2025,9,September,3,Thursday,39
ORD100031,2025-03-29,CUST79678,Men,Watches,Nike,Nike Watches,7772,0,0.0,7772.0,1,7772.0,Bangalore,UPI,Delivered,5.0,Premium,2025,3,March,1,Saturday,13
ORD100032,2025-04-14,CUST35945,Women,Shoes,Forever 21,Forever 21 Shoes,918,0,0.0,918.0,1,918.0,Kolkata,Credit Card,Delivered,4.0,Budget,2025,4,April,2,Monday,16
ORD100033,2025-04-19,CUST30056,Women,Tops,Roadster,Roadster Tops,1200,0,0.0,1200.0,1,1200.0,Ahmedabad,COD,Delivered,5.0,Budget,2025,4,April,2,Saturday,16
ORD100034,2025-06-21,CUST82789,Kids,Toys,Zara,Zara Toys,1474,10,147.4,1326.6,1,1326.6,Jaipur,Debit Card,Delivered,3.0,Budget,2025,6,June,2,Saturday,25
ORD100035,2025-03-15,CUST72752,Women,Shoes,Adidas,Adidas Shoes,5426,0,0.0,5426.0,2,10852.0,Kolkata,Debit Card,Delivered,5.0,Premium,2025,3,March,1,Saturday,11
ORD100036,2025-09-27,CUST67679,Accessories,Belts,Roadster,Roadster Belts,623,10,62.3,560.7,1,560.7,Pune,COD,Returned,,Budget,2025,9,September,3,Saturday,39
ORD100037,2025-05-20,CUST80588,Kids,Shoes,Wrogn,Wrogn Shoes,3536,10,353.6,3182.4,1,3182.4,Bangalore,Net Banking,Delivered,5.0,Mid-tier,2025,5,May,2,Tuesday,21
ORD100038,2025-05-28,CUST22161,Women,Jeans,Wrogn,Wrogn Jeans,1083,0,0.0,1083.0,1,1083.0,Bangalore,UPI,Delivered,5.0,Budget,2025,5,May,2,Wednesday,22
ORD100039,2025-03-14,CUST99588,Women,Tops,H&M,H&M Tops,513,0,0.0,513.0,1,513.0,Delhi,UPI,Returned,,Budget,2025,3,March,1,Friday,11
ORD100040,2025-07-16,CUST93042,Men,Jackets,Nike,Nike Jackets,7491,20,1498.2,5992.8,2,11985.6,Chennai,Debit Card,Delivered,4.0,Premium,2025,7,July,3,Wednesday,29
ORD100041,2025-06-19,CUST65069,Accessories,Jewelry,Wrogn,Wrogn Jewelry,1847,20,369.4,1477.6,1,1477.6,Mumbai,UPI,Delivered,4.0,Budget,2025,6,June,2,Thursday,25
ORD100042,2025-06-16,CUST79896,Kids,T-Shirts,Nike,Nike T-Shirts,1794,30,538.2,1255.8,2,2511.6,Pune,Wallet,Delivered,4.0,Mid-tier,2025,6,June,2,Monday,25
ORD100043,2025-05-04,CUST70566,Men,Jackets,Zara,Zara Jackets,5994,10,599.4,5394.6,1,5394.6,Jaipur,Credit Card,Returned,,Premium,2025,5,May,2,Sunday,18
ORD100044,2025-06-15,CUST16801,Kids,Dresses,Adidas,Adidas Dresses,4685,20,937.0,3748.0,1,3748.0,Indore,UPI,Delivered,5.0,Mid-tier,2025,6,June,2,Sunday,24
ORD100045,2025-07-29,CUST93460,Kids,Toys,Allen Solly,Allen Solly Toys,368,10,36.8,331.2,2,662.4,Kolkata,Credit Card,Delivered,5.0,Budget,2025,7,July,3,Tuesday,31
ORD100046,2025-11-18,CUST99339,Accessories,Sunglasses,Levis,Levis Sunglasses,2315,30,694.5,1620.5,1,1620.5,Bangalore,Net Banking,Delivered,4.0,Budget,2025,11,November,4,Tuesday,47
ORD100047,2025-11-22,CUST40355,Kids,Jeans,Biba,Biba Jeans,1451,20,290.2,1160.8,1,1160.8,Indore,Net Banking,Delivered,5.0,Budget,2025,11,November,4,Saturday,47
ORD100048,2025-11-24,CUST77641,Women,Dresses,Forever 21,Forever 21 Dresses,1422,30,426.6,995.4,1,995.4,Indore,Wallet,Delivered,4.0,Budget,2025,11,November,4,Monday,48
ORD100049,2025-03-01,CUST23843,Women,Kurtis,HRX,HRX Kurtis,1262,0,0.0,1262.0,1,1262.0,Jaipur,UPI,Delivered,5.0,Budget,2025,3,March,1,Saturday,9
ORD100050,2024-12-12,CUST20975,Men,Shoes,Zara,Zara Shoes,4854,30,1456.2,3397.8,2,6795.6,Ahmedabad,Debit Card,Delivered,4.0,Premium,2024,12,December,4,Thursday,50
ORD100051,2025-04-12,CUST14835,Accessories,Bags,Allen Solly,Allen Solly Bags,3344,0,0.0,3344.0,1,3344.0,Chandigarh,UPI,Delivered,4.0,Mid-tier,2025,4,April,2,Saturday,15
ORD100052,2025-07-11,CUST55445,Men,Trousers,AND,AND Trousers,1623,0,0.0,1623.0,1,1623.0,Delhi,Debit Card,Delivered,5.0,Budget,2025,7,July,3,Friday,28
ORD100053,2024-12-21,CUST37712,Accessories,Belts,Biba,Biba Belts,303,10,30.3,272.7,1,272.7,Delhi,Wallet,Delivered,5.0,Budget,2024,12,December,4,Saturday,51
ORD100054,2025-02-12,CUST18702,Men,Shoes,Forever 21,Forever 21 Shoes,2283,0,0.0,2283.0,1,2283.0,Mumbai,Credit Card,Delivered,5.0,Mid-tier,2025,2,February,1,Wednesday,7
ORD100055,2025-06-26,CUST20916,Kids,Toys,Puma,Puma Toys,969,10,96.9,872.1,2,1744.2,Lucknow,Net Banking,Delivered,4.0,Budget,2025,6,June,2,Thursday,26
ORD100056,2024-12-12,CUST46187,Kids,Toys,Biba,Biba Toys,647,30,194.1,452.9,1,452.9,Ahmedabad,Credit Card,Delivered,4.0,Budget,2024,12,December,4,Thursday,50
ORD100057,2025-08-27,CUST34285,Kids,Dresses,Wrogn,Wrogn Dresses,2583,10,258.3,2324.7,1,2324.7,Chandigarh,Debit Card,Delivered,3.0,Mid-tier,2025,8,August,3,Wednesday,35
ORD100058,2025-07-06,CUST88587,Men,Jackets,Libas,Libas Jackets,3421,0,0.0,3421.0,1,3421.0,Delhi,Debit Card,Delivered,4.0,Mid-tier,2025,7,July,3,Sunday,27
ORD100059,2025-11-23,CUST53088,Kids,Dresses,Puma,Puma Dresses,1957,20,391.4,1565.6,1,1565.6,Kolkata,Net Banking,Delivered,5.0,Budget,2025,11,November,4,Sunday,47
ORD100060,2025-09-10,CUST46586,Accessories,Bags,Adidas,Adidas Bags,4044,10,404.4,3639.6,1,3639.6,Chandigarh,Credit Card,Delivered,3.0,Mid-tier,2025,9,September,3,Wednesday,37
ORD100061,2025-06-12,CUST93807,Accessories,Wallets,AND,AND Wallets,1298,0,0.0,1298.0,1,1298.0,Bangalore,UPI,Cancelled,,Budget,2025,6,June,2,Thursday,24
ORD100062,2025-02-10,CUST49749,Women,Jeans,Adidas,Adidas Jeans,3402,10,340.2,3061.8,1,3061.8,Mumbai,UPI,Delivered,5.0,Mid-tier,2025,2,February,1,Monday,7
ORD100063,2025-02-27,CUST20478,Women,Kurtis,Van Heusen,Van Heusen Kurtis,2892,20,578.4,2313.6,1,2313.6,Ahmedabad,COD,Returned,,Mid-tier,2025,2,February,1,Thursday,9
ORD100064,2025-02-10,CUST97731,Men,Shirts,Nike,Nike Shirts,2355,0,0.0,2355.0,1,2355.0,Ahmedabad,UPI,Delivered,4.0,Mid-tier,2025,2,February,1,Monday,7
ORD100065,2025-07-15,CUST28030,Women,Kurtis,Libas,Libas Kurtis,1197,0,0.0,1197.0,2,2394.0,Pune,UPI,Delivered,3.0,Mid-tier,2025,7,July,3,Tuesday,29
ORD100066,2025-10-01,CUST11062,Kids,Jeans,W,W Jeans,2014,20,402.8,1611.2,1,1611.2,Jaipur,Net Banking,Delivered,5.0,Budget,2025,10,October,4,Wednesday,40
ORD100067,2025-01-05,CUST16371,Men,Jackets,Nike,Nike Jackets,5665,30,1699.5,3965.5,1,3965.5,Hyderabad,UPI,Delivered,4.0,Mid-tier,2025,1,January,1,Sunday,1
ORD100068,2025-03-04,CUST85703,Women,Dresses,Adidas,Adidas Dresses,4190,10,419.0,3771.0,1,3771.0,Chandigarh,Wallet,Delivered,4.0,Mid-tier,2025,3,March,1,Tuesday,10
ORD100069,2025-05-10,CUST86125,Men,Shoes,Puma,Puma Shoes,2325,10,232.5,2092.5,2,4185.0,Ahmedabad,COD,Delivered,5.0,Mid-tier,2025,5,May,2,Saturday,19
ORD100070,2025-01-20,CUST97886,Men,Trousers,Puma,Puma Trousers,2044,30,613.2,1430.8,2,2861.6,Hyderabad,Wallet,Delivered,5.0,Mid-tier,2025,1,January,1,Monday,4
ORD100071,2025-02-11,CUST16469,Men,Shirts,W,W Shirts,1213,10,121.3,1091.7,1,1091.7,Lucknow,Debit Card,Delivered,5.0,Budget,2025,2,February,1,Tuesday,7
ORD100072,2025-04-03,CUST42254,Accessories,Sunglasses,Libas,Libas Sunglasses,818,0,0.0,818.0,1,818.0,Chennai,Debit Card,Delivered,4.0,Budget,2025,4,April,2,Thursday,14
ORD100073,2024-12-21,CUST44387,Men,Watches,Mast & Harbour,Mast & Harbour Watches,3218,20,643.6,2574.4,1,2574.4,Mumbai,Credit Card,Delivered,3.0,Mid-tier,2024,12,December,4,Saturday,51
ORD100074,2025-01-18,CUST77444,Kids,Jeans,Forever 21,Forever 21 Jeans,2403,40,961.2,1441.8,3,4325.4,Ahmedabad,Wallet,Delivered,4.0,Mid-tier,2025,1,January,1,Saturday,3
ORD100075,2024-12-12,CUST96740,Accessories,Bags,Allen Solly,Allen Solly Bags,1471,30,441.3,1029.7,2,2059.4,Kolkata,Net Banking,Delivered,5.0,Mid-tier,2024,12,December,4,Thursday,50
ORD100076,2025-04-22,CUST39287,Men,Jackets,Mast & Harbour,Mast & Harbour Jackets,3435,10,343.5,3091.5,1,3091.5,Bangalore,UPI,Delivered,4.0,Mid-tier,2025,4,April,2,Tuesday,17
ORD100077,2025-05-13,CUST14018,Men,T-Shirts,W,W T-Shirts,801,10,80.1,720.9,1,720.9,Pune,Credit Card,Returned,,Budget,2025,5,May,2,Tuesday,20
ORD100078,2025-06-08,CUST19446,Accessories,Belts,W,W Belts,921,10,92.1,828.9,1,828.9,Chandigarh,Net Banking,Delivered,4.0,Budget,2025,6,June,2,Sunday,23
ORD100079,2025-09-26,CUST65180,Women,Sarees,H&M,H&M Sarees,5611,20,1122.2,4488.8,1,4488.8,Chennai,UPI,Delivered,5.0,Mid-tier,2025,9,September,3,Friday,39
ORD100080,2025-04-26,CUST26478,Men,Jackets,W,W Jackets,3670,20,734.0,2936.0,2,5872.0,Bangalore,UPI,Delivered,4.0,Premium,2025,4,April,2,Saturday,17
ORD100081,2025-02-18,CUST10814,Accessories,Wallets,Mast & Harbour,Mast & Harbour Wallets,1270,10,127.0,1143.0,1,1143.0,Lucknow,COD,Delivered,5.0,Budget,2025,2,February,1,Tuesday,8
ORD100082,2025-07-09,CUST90879,Men,T-Shirts,W,W T-Shirts,1126,10,112.6,1013.4,1,1013.4,Chennai,Net Banking,Delivered,5.0,Budget,2025,7,July,3,Wednesday,28
ORD100083,2025-03-13,CUST78904,Kids,Dresses,Van Heusen,Van Heusen Dresses,4512,0,0.0,4512.0,1,4512.0,Hyderabad,COD,Delivered,4.0,Mid-tier,2025,3,March,1,Thursday,11
ORD100084,2025-11-22,CUST73374,Women,Sarees,Roadster,Roadster Sarees,2853,20,570.6,2282.4,1,2282.4,Kolkata,Debit Card,Delivered,4.0,Mid-tier,2025,11,November,4,Saturday,47
ORD100085,2025-10-20,CUST83509,Men,Shirts,Van Heusen,Van Heusen Shirts,2901,20,580.2,2320.8,1,2320.8,Delhi,UPI,Delivered,5.0,Mid-tier,2025,10,October,4,Monday,43
ORD100086,2025-04-18,CUST77526,Kids,Jeans,Wrogn,Wrogn Jeans,1561,0,0.0,1561.0,1,1561.0,Chennai,Debit Card,Returned,,Budget,2025,4,April,2,Friday,16
ORD100087,2025-06-06,CUST37696,Men,Watches,HRX,HRX Watches,5756,0,0.0,5756.0,1,5756.0,Pune,Wallet,Delivered,5.0,Premium,2025,6,June,2,Friday,23
ORD100088,2025-11-18,CUST51949,Accessories,Jewelry,Allen Solly,Allen Solly Jewelry,2907,20,581.4,2325.6,1,2325.6,Pune,Debit Card,Delivered,4.0,Mid-tier,2025,11,November,4,Tuesday,47
ORD100089,2025-05-18,CUST43536,Men,T-Shirts,Biba,Biba T-Shirts,584,20,116.8,467.2,1,467.2,Bangalore,UPI,Delivered,4.0,Budget,2025,5,May,2,Sunday,20
ORD100090,2025-04-04,CUST88623,Women,Shoes,Nike,Nike Shoes,5486,20,1097.2,4388.8,2,8777.6,Lucknow,Debit Card,Delivered,4.0,Premium,2025,4,April,2,Friday,14
ORD100091,2025-03-08,CUST65106,Kids,Shoes,Levis,Levis Shoes,5571,10,557.1,5013.9,1,5013.9,Ahmedabad,Credit Card,Delivered,5.0,Premium,2025,3,March,1,Saturday,10
ORD100092,2025-08-17,CUST74929,Kids,Toys,Zara,Zara Toys,1449,10,144.9,1304.1,1,1304.1,Bangalore,Credit Card,Delivered,5.0,Budget,2025,8,August,3,Sunday,33
ORD100093,2025-05-25,CUST14425,Women,Kurtis,Libas,Libas Kurtis,1233,10,123.3,1109.7,1,1109.7,Pune,UPI,Delivered,3.0,Budget,2025,5,May,2,Sunday,21
ORD100094,2025-01-16,CUST25358,Men,Trousers,H&M,H&M Trousers,1513,30,453.9,1059.1,1,1059.1,Delhi,Debit Card,Delivered,5.0,Budget,2025,1,January,1,Thursday,3
ORD100095,2025-09-30,CUST27771,Women,Shoes,Van Heusen,Van Heusen Shoes,5448,20,1089.6,4358.4,1,4358.4,Ahmedabad,Credit Card,Delivered,5.0,Mid-tier,2025,9,September,3,Tuesday,40
ORD100096,2025-07-14,CUST70774,Accessories,Sunglasses,Forever 21,Forever 21 Sunglasses,1024,20,204.8,819.2,1,819.2,Jaipur,Credit Card,Delivered,5.0,Budget,2025,7,July,3,Monday,29
ORD100097,2025-01-09,CUST48243,Men,Shirts,Adidas,Adidas Shirts,2173,40,869.2,1303.8,1,1303.8,Jaipur,Debit Card,Delivered,5.0,Budget,2025,1,January,1,Thursday,2
ORD100098,2025-02-25,CUST92565,Kids,Toys,Mast & Harbour,Mast & Harbour Toys,540,0,0.0,540.0,2,1080.0,Chandigarh,UPI,Delivered,5.0,Budget,2025,2,February,1,Tuesday,9
ORD100099,2025-06-02,CUST71120,Men,Shirts,Libas,Libas Shirts,2098,10,209.8,1888.2,3,5664.6,Bangalore,Credit Card,Delivered,3.0,Premium,2025,6,June,2,Monday,23
ORD100100,2025-09-04,CUST38769,Accessories,Wallets,Nike,Nike Wallets,1861,20,372.2,1488.8,1,1488.8,Pune,UPI,Returned,,Budget,2025,9,September,3,Thursday,36
ORD100101,2025-02-18,CUST25850,Accessories,Sunglasses,Nike,Nike Sunglasses,2849,0,0.0,2849.0,1,2849.0,Mumbai,UPI,Delivered,4.0,Mid-tier,2025,2,February,1,Tuesday,8
ORD100102,2025-05-14,CUST10060,Women,Kurtis,Van Heusen,Van Heusen Kurtis,2811,10,281.1,2529.9,1,2529.9,Chandigarh,UPI,Delivered,3.0,Mid-tier,2025,5,May,2,Wednesday,20
ORD100103,2025-07-28,CUST79626,Accessories,Bags,Puma,Puma Bags,3170,10,317.0,2853.0,1,2853.0,Mumbai,Credit Card,Cancelled,,Mid-tier,2025,7,July,3,Monday,31
ORD100104,2025-10-18,CUST22254,Men,Watches,Wrogn,Wrogn Watches,2340,50,1170.0,1170.0,2,2340.0,Kolkata,Net Banking,Delivered,5.0,Mid-tier,2025,10,October,4,Saturday,42
ORD100105,2025-06-29,CUST37935,Men,Shirts,Wrogn,Wrogn Shirts,2093,30,627.9,1465.1,2,2930.2,Lucknow,UPI,Cancelled,,Mid-tier,2025,6,June,2,Sunday,26
ORD100106,2025-09-19,CUST90559,Men,Shoes,Levis,Levis Shoes,4533,10,453.3,4079.7,1,4079.7,Ahmedabad,Wallet,Returned,,Mid-tier,2025,9,September,3,Friday,38
ORD100107,2025-03-03,CUST97312,Kids,Shoes,Levis,Levis Shoes,5193,10,519.3,4673.7,2,9347.4,Ahmedabad,Credit Card,Delivered,3.0,Premium,2025,3,March,1,Monday,10
ORD100108,2025-09-30,CUST64620,Kids,Dresses,Wrogn,Wrogn Dresses,637,10,63.7,573.3,1,573.3,Hyderabad,Debit Card,Delivered,5.0,Budget,2025,9,September,3,Tuesday,40
ORD100109,2025-03-29,CUST85532,Women,Tops,Zara,Zara Tops,1918,30,575.4,1342.6,1,1342.6,Delhi,COD,Delivered,5.0,Budget,2025,3,March,1,Saturday,13
ORD100110,2025-01-09,CUST20616,Women,Dresses,Wrogn,Wrogn Dresses,1295,30,388.5,906.5,1,906.5,Lucknow,Credit Card,Delivered,5.0,Budget,2025,1,January,1,Thursday,2
ORD100111,2025-02-14,CUST65619,Women,Dresses,Zara,Zara Dresses,4951,10,495.1,4455.9,1,4455.9,Delhi,Credit Card,Delivered,3.0,Mid-tier,2025,2,February,1,Friday,7
ORD100112,2025-02-22,CUST55028,Kids,T-Shirts,Nike,Nike T-Shirts,1538,30,461.4,1076.6,2,2153.2,Chandigarh,UPI,Cancelled,,Mid-tier,2025,2,February,1,Saturday,8
ORD100113,2025-10-26,CUST64842,Women,Jeans,Biba,Biba Jeans,1024,10,102.4,921.6,3,2764.8,Ahmedabad,COD,Delivered,5.0,Mid-tier,2025,10,October,4,Sunday,43
ORD100114,2025-11-06,CUST91412,Kids,Dresses,Van Heusen,Van Heusen Dresses,4251,50,2125.5,2125.5,2,4251.0,Kolkata,UPI,Delivered,5.0,Mid-tier,2025,11,November,4,Thursday,45
ORD100115,2024-12-31,CUST34578,Women,Dresses,Mast & Harbour,Mast & Harbour Dresses,3065,30,919.5,2145.5,1,2145.5,Bangalore,Credit Card,Delivered,5.0,Mid-tier,2024,12,December,4,Tuesday,1
ORD100116,2025-11-05,CUST75160,Accessories,Jewelry,H&M,H&M Jewelry,1589,40,635.6,953.4,1,953.4,Bangalore,Wallet,Returned,,Budget,2025,11,November,4,Wednesday,45
ORD100117,2024-12-20,CUST43742,Kids,T-Shirts,Adidas,Adidas T-Shirts,1793,10,179.3,1613.7,1,1613.7,Hyderabad,Debit Card,Delivered,4.0,Budget,2024,12,December,4,Friday,51
ORD100118,2025-01-17,CUST12396,Accessories,Jewelry,Adidas,Adidas Jewelry,4471,40,1788.4,2682.6,1,2682.6,Bangalore,Net Banking,Delivered,5.0,Mid-tier,2025,1,January,1,Friday,3
ORD100119,2025-11-23,CUST77675,Men,Jackets,Roadster,Roadster Jackets,2584,30,775.2,1808.8,2,3617.6,Mumbai,Credit Card,Delivered,4.0,Mid-tier,2025,11,November,4,Sunday,47
ORD100120,2025-01-25,CUST73620,Men,Jackets,Mast & Harbour,Mast & Harbour Jackets,5585,30,1675.5,3909.5,1,3909.5,Chandigarh,Wallet,Delivered,5.0,Mid-tier,2025,1,January,1,Saturday,4
ORD100121,2025-05-20,CUST43062,Kids,Toys,Levis,Levis Toys,1480,20,296.0,1184.0,2,2368.0,Delhi,Debit Card,Delivered,5.0,Mid-tier,2025,5,May,2,Tuesday,21
ORD100122,2024-12-28,CUST39257,Accessories,Belts,Biba,Biba Belts,973,10,97.3,875.7,1,875.7,Jaipur,Wallet,Delivered,5.0,Budget,2024,12,December,4,Saturday,52
ORD100123,2025-07-21,CUST60192,Men,Jackets,Nike,Nike Jackets,7486,20,1497.2,5988.8,2,11977.6,Indore,Credit Card,Delivered,4.0,Premium,2025,7,July,3,Monday,30
ORD100124,2025-04-10,CUST97266,Kids,Dresses,Libas,Libas Dresses,1302,10,130.2,1171.8,1,1171.8,Chennai,Net Banking,Delivered,3.0,Budget,2025,4,April,2,Thursday,15
ORD100125,2025-04-24,CUST23025,Kids,Jeans,HRX,HRX Jeans,1368,0,0.0,1368.0,1,1368.0,Chennai,Debit Card,Delivered,4.0,Budget,2025,4,April,2,Thursday,17
ORD100126,2025-09-22,CUST32042,Men,Jeans,H&M,H&M Jeans,2509,10,250.9,2258.1,1,2258.1,Bangalore,Wallet,Delivered,4.0,Mid-tier,2025,9,September,3,Monday,39
ORD100127,2025-01-01,CUST11980,Kids,Toys,Puma,Puma Toys,768,40,307.2,460.8,1,460.8,Bangalore,Credit Card,Delivered,4.0,Budget,2025,1,January,1,Wednesday,1
ORD100128,2025-09-08,CUST78916,Accessories,Wallets,Allen Solly,Allen Solly Wallets,1482,0,0.0,1482.0,2,2964.0,Ahmedabad,Net Banking,Delivered,5.0,Mid-tier,2025,9,September,3,Monday,37
ORD100129,2025-11-25,CUST21536,Accessories,Bags,Zara,Zara Bags,4414,30,1324.2,3089.8,1,3089.8,Indore,Credit Card,Delivered,4.0,Mid-tier,2025,11,November,4,Tuesday,48
ORD100130,2025-10-26,CUST70112,Women,Shoes,H&M,H&M Shoes,2166,20,433.2,1732.8,3,5198.4,Ahmedabad,UPI,Delivered,4.0,Premium,2025,10,October,4,Sunday,43
ORD100131,2025-03-16,CUST40087,Women,Jeans,Biba,Biba Jeans,1527,20,305.4,1221.6,2,2443.2,Chandigarh,UPI,Delivered,4.0,Mid-tier,2025,3,March,1,Sunday,11
ORD100132,2025-01-26,CUST59153,Accessories,Bags,Roadster,Roadster Bags,1312,30,393.6,918.4,2,1836.8,Mumbai,Credit Card,Delivered,3.0,Budget,2025,1,January,1,Sunday,4
